Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
22753,0,0,Marketing,Others,Training,M,HR,PG,Arts,Lucknow,2020.0,Mathematics,Bhubaneswar,2006.0,Guwahati,Pune,0,N,B,0,0,0,0,384551
51087,23,14,HR,Consultant,Analytics,H,HR,Doctorate,Chemistry,Surat,1988.0,Others,Surat,1990.0,Bangalore,Nagpur,2702664,Y,Key_Performer,2,4,0,0,3783729
38413,21,12,Top Management,Consultant,Training,J,HR,Doctorate,Zoology,Jaipur,1990.0,Zoology,Jaipur,1992.0,Ahmedabad,Jaipur,2236661,Y,Key_Performer,5,3,0,0,3131325
11501,15,8,Banking,Financial Analyst,Aviation,F,HR,Doctorate,Others,Bangalore,1997.0,Zoology,Bangalore,1999.0,Kanpur,Kolkata,2100510,N,C,5,3,0,0,2608833
58941,10,5,Sales,Project Manager,Insurance,E,Medical Officer,Grad,Zoology,Mumbai,2004.0,Zoology,Mumbai,2006.0,Ahmedabad,Ahmedabad,1931644,N,C,2,3,0,0,2221390
30564,16,3,Top Management,Area Sales Manager,Retail,G,Director,Doctorate,Others,Bangalore,1998.0,Zoology,Bangalore,2000.0,Pune,Bhubaneswar,3511167,Y,C,5,4,0,0,4522383
27267,1,1,Engineering,Team Lead,FMCG,L,Marketing Manager,Grad,Chemistry,Delhi,2011.0,Chemistry,Delhi,2013.0,Delhi,Pune,492917,Y,B,3,3,0,0,630933
36521,19,11,Others,Analyst,Others,E,Manager,PG,Sociology,Delhi,2001.0,Mathematics,Bhubaneswar,2006.0,Surat,Bangalore,2693459,N,C,6,1,1,0,3221376
11616,8,7,Analytics/BI,Others,Telecom,L,Marketing Manager,Doctorate,Psychology,Mumbai,2003.0,Psychology,Mumbai,2005.0,Nagpur,Guwahati,1630225,N,A,6,6,0,0,2288835
43886,15,15,Analytics/BI,CEO,Telecom,M,Product Manager,Doctorate,Chemistry,Delhi,1998.0,Chemistry,Delhi,2000.0,Bangalore,Bhubaneswar,1761797,Y,A,5,6,0,1,2466515
47373,13,10,Education,Business Analyst,Automobile,L,Consultant,Doctorate,Mathematics,Mangalore,2000.0,Mathematics,Mangalore,2002.0,Bangalore,Nagpur,2232801,Y,Key_Performer,3,3,0,0,3125921
36565,7,1,Marketing,Sales Manager,FMCG,E,CA,PG,Others,Mumbai,2004.0,Chemistry,Mumbai,2006.0,Jaipur,Mangalore,1351191,N,B,2,8,1,0,1756548
11739,10,10,Others,Bio statistician,Automobile,H,Consultant,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Surat,Kanpur,1446451,N,C,3,2,1,0,1663418
14459,0,0,Marketing,Others,Training,M,HR,PG,Engineering,Nagpur,2012.0,Engineering,Nagpur,2014.0,Nagpur,Bangalore,0,N,B,0,6,0,0,639655
45111,12,9,Banking,Bio statistician,Telecom,J,Research Scientist,Grad,Zoology,Surat,2002.0,Others,Surat,2004.0,Jaipur,Mumbai,1990865,N,C,6,3,0,0,2289494
29106,20,15,Healthcare,Analyst,IT,F,Medical Officer,PG,Sociology,Mumbai,2000.0,Sociology,Mumbai,2014.0,Kolkata,Kolkata,2624073,N,B,5,1,0,0,3411294
48969,4,4,Analytics/BI,Scientist,Analytics,G,Sr.Manager,Doctorate,Mathematics,Kolkata,2016.0,Mathematics,Kolkata,2009.0,Surat,Guwahati,1079725,Y,A,5,2,0,0,1572079
14662,21,7,Healthcare,Research Scientist,BFSI,G,Product Manager,Doctorate,Sociology,Lucknow,1990.0,Others,Lucknow,1992.0,Surat,Chennai,3495505,N,B,4,4,0,0,4718931
43538,14,9,Sales,Business Analyst,Telecom,M,Product Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Bhubaneswar,Chennai,1290371,N,D,5,3,1,0,1483926
48945,8,3,Engineering,Consultant,Telecom,O,Manager,Doctorate,Engineering,Delhi,2004.0,Engineering,Delhi,2006.0,Surat,Bhubaneswar,2149333,N,C,3,3,0,0,2669471
39333,17,12,HR,Others,Training,M,Medical Officer,Grad,Arts,Ahmedabad,1997.0,Arts,Ahmedabad,1999.0,Nagpur,Pune,2573882,N,D,4,3,0,0,2959964
48918,7,6,Banking,Analyst,Training,M,Sr.Manager,Doctorate,Mathematics,Jaipur,2013.0,Mathematics,Jaipur,2017.0,Mangalore,Kanpur,1669585,N,A,6,2,0,0,2344097
33614,22,6,Top Management,Consultant,BFSI,D,Sr.Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Delhi,Pune,2148699,Y,A,2,8,5,0,2793308
32375,15,10,Sales,Head,Insurance,N,Research Scientist,Grad,Botony,Jaipur,1999.0,Others,Jaipur,2001.0,Pune,Surat,2227905,N,B,2,7,0,0,2784881
26442,3,2,Banking,Associate,Aviation,A,Data Analyst,Doctorate,Statistics,Mumbai,2011.0,Statistics,Mumbai,2013.0,Guwahati,Mangalore,954597,Y,B,3,8,0,0,1336435
